email_text,label
Your account has been suspended. Click here http://bank-update.phishybank.com,phishing
Your GitHub security alert was resolved. https://paypal.com,safe
Monthly newsletter from your subscription. https://paypal.com,safe
Security update regarding your account. https://paypal.com,safe
Please review recent changes to your profile. http://verify-account-test.com/login,suspicious
Your password was changed successfully.,safe
Confirm your identity to avoid account lock http://bank-update.phishybank.com,phishing
Confirm your identity to avoid account lock http://secure-login.ru,phishing
Please review recent changes to your profile.,suspicious
Your order has been shipped successfully. https://microsoft.com,safe
Your GitHub security alert was resolved. https://google.com,safe
Security notice regarding your account access.,suspicious
Reset your password now to regain access http://bank-update.phishybank.com,phishing
Your password was changed successfully.,safe
Your GitHub security alert was resolved. https://github.com,safe
Meeting scheduled for tomorrow at 10 AM.,safe
Monthly newsletter from your subscription.,safe
Meeting scheduled for tomorrow at 10 AM.,safe
Security notice regarding your account access.,suspicious
Monthly newsletter from your subscription. https://paypal.com,safe
Action required to avoid service interruption.,suspicious
Your GitHub security alert was resolved.,safe
Reset your password now to regain access http://192.168.1.45/verify,phishing
Urgent! Verify your account immediately http://192.168.1.45/verify,phishing
Reset your password now to regain access http://192.168.1.45/verify,phishing
Reset your password now to regain access http://secure-login.ru,phishing
Your account has been suspended. Click here http://verify-account-test.com/login,phishing
We noticed unusual activity in your account. http://192.168.1.45/verify,suspicious
Your order has been shipped successfully.,safe
Your account has been suspended. Click here http://verify-account-test.com/login,phishing
Invoice attached for your recent purchase.,safe
Monthly newsletter from your subscription. https://paypal.com,safe
Reset your password now to regain access http://verify-account-test.com/login,phishing
Your order has been shipped successfully.,safe
Security notice regarding your account access. http://secure-login.ru,suspicious
Your GitHub security alert was resolved.,safe
Login attempt detected. Check your account.,suspicious
Monthly newsletter from your subscription. https://google.com,safe
Meeting scheduled for tomorrow at 10 AM.,safe
Update billing information immediately http://bank-update.phishybank.com,phishing
Update billing information immediately http://bank-update.phishybank.com,phishing
Your GitHub security alert was resolved.,safe
Your password was changed successfully.,safe
Your GitHub security alert was resolved. https://google.com,safe
Please review recent changes to your profile.,suspicious
Your order has been shipped successfully. https://google.com,safe
Urgent! Verify your account immediately http://verify-account-test.com/login,phishing
Your account has been suspended. Click here http://secure-login.ru,phishing
Your password was changed successfully.,safe
Invoice attached for your recent purchase.,safe
Action required to avoid service interruption.,suspicious
Update billing information immediately http://verify-account-test.com/login,phishing
Security update regarding your account.,safe
Please review recent changes to your profile.,suspicious
Action required to avoid service interruption. http://verify-account-test.com/login,suspicious
Action required to avoid service interruption.,suspicious
Your order has been shipped successfully.,safe
Security update regarding your account. https://microsoft.com,safe
Security update regarding your account.,safe
Confirm your identity to avoid account lock http://192.168.1.45/verify,phishing
Action required to avoid service interruption.,suspicious
Security update regarding your account.,safe
Invoice attached for your recent purchase.,safe
Reset your password now to regain access http://verify-account-test.com/login,phishing
Meeting scheduled for tomorrow at 10 AM.,safe
Monthly newsletter from your subscription. https://microsoft.com,safe
Login attempt detected. Check your account.,suspicious
Your GitHub security alert was resolved.,safe
Urgent! Verify your account immediately http://verify-account-test.com/login,phishing
Action required to avoid service interruption.,suspicious
Confirm your identity to avoid account lock http://bank-update.phishybank.com,phishing
Update billing information immediately http://192.168.1.45/verify,phishing
Your account has been suspended. Click here http://verify-account-test.com/login,phishing
Security notice regarding your account access.,suspicious
We noticed unusual activity in your account.,suspicious
Your GitHub security alert was resolved.,safe
Update billing information immediately http://bank-update.phishybank.com,phishing
Your GitHub security alert was resolved.,safe
Your order has been shipped successfully. https://microsoft.com,safe
Login attempt detected. Check your account.,suspicious
Reset your password now to regain access http://192.168.1.45/verify,phishing
Your order has been shipped successfully.,safe
Monthly newsletter from your subscription.,safe
Confirm your identity to avoid account lock http://secure-login.ru,phishing
Your GitHub security alert was resolved.,safe
Meeting scheduled for tomorrow at 10 AM.,safe
Security update regarding your account.,safe
Your GitHub security alert was resolved.,safe
Meeting scheduled for tomorrow at 10 AM.,safe
Your account has been suspended. Click here http://verify-account-test.com/login,phishing
Meeting scheduled for tomorrow at 10 AM.,safe
Urgent! Verify your account immediately http://secure-login.ru,phishing
Update billing information immediately http://verify-account-test.com/login,phishing
Reset your password now to regain access http://bank-update.phishybank.com,phishing
Security notice regarding your account access.,suspicious
Invoice attached for your recent purchase.,safe
Your account has been suspended. Click here http://secure-login.ru,phishing
Update billing information immediately http://secure-login.ru,phishing
Reset your password now to regain access http://verify-account-test.com/login,phishing
Meeting scheduled for tomorrow at 10 AM.,safe
Your password was changed successfully.,safe
Invoice attached for your recent purchase. https://paypal.com,safe
Security notice regarding your account access.,suspicious
Reset your password now to regain access http://bank-update.phishybank.com,phishing
Login attempt detected. Check your account.,suspicious
Your password was changed successfully.,safe
Your account has been suspended. Click here http://secure-login.ru,phishing
Action required to avoid service interruption.,suspicious
Your account has been suspended. Click here http://verify-account-test.com/login,phishing
Your account has been suspended. Click here http://secure-login.ru,phishing
Update billing information immediately http://192.168.1.45/verify,phishing
Urgent! Verify your account immediately http://verify-account-test.com/login,phishing
Meeting scheduled for tomorrow at 10 AM.,safe
Action required to avoid service interruption.,suspicious
Reset your password now to regain access http://verify-account-test.com/login,phishing
Update billing information immediately http://192.168.1.45/verify,phishing
Urgent! Verify your account immediately http://secure-login.ru,phishing
We noticed unusual activity in your account. http://192.168.1.45/verify,suspicious
Urgent! Verify your account immediately http://192.168.1.45/verify,phishing
Your GitHub security alert was resolved.,safe
Action required to avoid service interruption.,suspicious
Monthly newsletter from your subscription.,safe
Action required to avoid service interruption. http://bank-update.phishybank.com,suspicious
Meeting scheduled for tomorrow at 10 AM.,safe
Your account has been suspended. Click here http://bank-update.phishybank.com,phishing
We noticed unusual activity in your account. http://bank-update.phishybank.com,suspicious
We noticed unusual activity in your account.,suspicious
Confirm your identity to avoid account lock http://secure-login.ru,phishing
Action required to avoid service interruption.,suspicious
Invoice attached for your recent purchase.,safe
Security update regarding your account.,safe
Your password was changed successfully. https://microsoft.com,safe
Your password was changed successfully. https://microsoft.com,safe
Monthly newsletter from your subscription.,safe
Reset your password now to regain access http://bank-update.phishybank.com,phishing
Reset your password now to regain access http://verify-account-test.com/login,phishing
Your account has been suspended. Click here http://secure-login.ru,phishing
We noticed unusual activity in your account.,suspicious
Your account has been suspended. Click here http://bank-update.phishybank.com,phishing
Security update regarding your account.,safe
Please review recent changes to your profile.,suspicious
Invoice attached for your recent purchase. https://google.com,safe
We noticed unusual activity in your account. http://secure-login.ru,suspicious
Your order has been shipped successfully.,safe
Reset your password now to regain access http://192.168.1.45/verify,phishing
Invoice attached for your recent purchase.,safe
Meeting scheduled for tomorrow at 10 AM.,safe
Action required to avoid service interruption.,suspicious
Security update regarding your account.,safe
Invoice attached for your recent purchase.,safe
Update billing information immediately http://bank-update.phishybank.com,phishing
Invoice attached for your recent purchase.,safe
Your account has been suspended. Click here http://bank-update.phishybank.com,phishing
Your account has been suspended. Click here http://192.168.1.45/verify,phishing
Your order has been shipped successfully. https://paypal.com,safe
Confirm your identity to avoid account lock http://bank-update.phishybank.com,phishing
Security update regarding your account.,safe
Your account has been suspended. Click here http://192.168.1.45/verify,phishing
Your order has been shipped successfully.,safe
Your order has been shipped successfully. https://github.com,safe
Your password was changed successfully.,safe
Confirm your identity to avoid account lock http://bank-update.phishybank.com,phishing
Invoice attached for your recent purchase.,safe
Your account has been suspended. Click here http://verify-account-test.com/login,phishing
Confirm your identity to avoid account lock http://verify-account-test.com/login,phishing
Your account has been suspended. Click here http://bank-update.phishybank.com,phishing
Action required to avoid service interruption.,suspicious
Confirm your identity to avoid account lock http://bank-update.phishybank.com,phishing
Your GitHub security alert was resolved.,safe
Security notice regarding your account access. http://192.168.1.45/verify,suspicious
Login attempt detected. Check your account.,suspicious
Your password was changed successfully. https://google.com,safe
Monthly newsletter from your subscription.,safe
Your GitHub security alert was resolved.,safe
Your password was changed successfully.,safe
Your GitHub security alert was resolved. https://paypal.com,safe
Confirm your identity to avoid account lock http://192.168.1.45/verify,phishing
Reset your password now to regain access http://bank-update.phishybank.com,phishing
Update billing information immediately http://192.168.1.45/verify,phishing
Your account has been suspended. Click here http://verify-account-test.com/login,phishing
Invoice attached for your recent purchase. https://github.com,safe
Update billing information immediately http://192.168.1.45/verify,phishing
We noticed unusual activity in your account.,suspicious
Action required to avoid service interruption.,suspicious
Please review recent changes to your profile.,suspicious
Reset your password now to regain access http://192.168.1.45/verify,phishing
Your order has been shipped successfully.,safe
Reset your password now to regain access http://192.168.1.45/verify,phishing
Your GitHub security alert was resolved. https://google.com,safe
Monthly newsletter from your subscription.,safe
Security notice regarding your account access. http://verify-account-test.com/login,suspicious
Your GitHub security alert was resolved. https://google.com,safe
We noticed unusual activity in your account. http://verify-account-test.com/login,suspicious
Your order has been shipped successfully.,safe
Your account has been suspended. Click here http://bank-update.phishybank.com,phishing
Urgent! Verify your account immediately http://verify-account-test.com/login,phishing
Your password was changed successfully. https://microsoft.com,safe
Monthly newsletter from your subscription. https://microsoft.com,safe
Update billing information immediately http://secure-login.ru,phishing
Login attempt detected. Check your account.,suspicious
Action required to avoid service interruption.,suspicious
Your password was changed successfully.,safe
Your account has been suspended. Click here http://bank-update.phishybank.com,phishing
Meeting scheduled for tomorrow at 10 AM.,safe
